Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,2016,2016,°C,2.694,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,2017,2017,°C,2.15,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,2018,2018,°C,1.642,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,2019,2019,°C,1.883,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,2020,2020,°C,1.958,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,2021,2021,°C,3.037,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7001,January,1961,1961,°C,1.056,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7001,January,1962,1962,°C,1.056,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7001,January,1963,1963,°C,1.056,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7001,January,1964,1964,°C,1.056,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7001,January,1965,1965,°C,1.056,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7001,January,1966,1966,°C,1.056,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7001,January,1967,1967,°C,1.056,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7001,January,1968,1968,°C,1.056,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7001,January,1969,1969,°C,1.056,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7001,January,1970,1970,°C,1.056,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7001,January,1971,1971,°C,1.056,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7001,January,1972,1972,°C,1.056,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7001,January,1973,1973,°C,1.056,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7001,January,1974,1974,°C,1.056,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7001,January,1975,1975,°C,1.056,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7001,January,1976,1976,°C,1.056,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7001,January,1977,1977,°C,1.056,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7001,January,1978,1978,°C,1.056,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7001,January,1979,1979,°C,1.056,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7001,January,1980,1980,°C,1.056,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7001,January,1981,1981,°C,1.056,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7001,January,1982,1982,°C,1.056,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7001,January,1983,1983,°C,1.056,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7001,January,1984,1984,°C,1.056,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7001,January,1985,1985,°C,1.056,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7001,January,1986,1986,°C,1.056,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7001,January,1987,1987,°C,1.056,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7001,January,1988,1988,°C,1.056,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7001,January,1989,1989,°C,1.056,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7001,January,1990,1990,°C,1.056,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7001,January,1991,1991,°C,1.056,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7001,January,1992,1992,°C,1.056,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7001,January,1993,1993,°C,1.056,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7001,January,1994,1994,°C,1.056,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7001,January,1995,1995,°C,1.056,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7001,January,1996,1996,°C,1.056,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7001,January,1997,1997,°C,1.056,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7001,January,1998,1998,°C,1.056,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7001,January,1999,1999,°C,1.056,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7001,January,2000,2000,°C,1.056,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7001,January,2001,2001,°C,1.056,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7001,January,2002,2002,°C,1.056,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7001,January,2003,2003,°C,1.056,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7001,January,2004,2004,°C,1.056,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7001,January,2005,2005,°C,1.056,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7001,January,2006,2006,°C,1.056,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7001,January,2007,2007,°C,1.056,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7001,January,2008,2008,°C,1.056,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7001,January,2009,2009,°C,1.056,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7001,January,2010,2010,°C,1.056,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7001,January,2011,2011,°C,1.056,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7001,January,2012,2012,°C,1.056,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7001,January,2013,2013,°C,1.056,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7001,January,2014,2014,°C,1.056,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7001,January,2015,2015,°C,1.056,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7001,January,2016,2016,°C,1.056,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7001,January,2017,2017,°C,1.056,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7001,January,2018,2018,°C,1.056,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7001,January,2019,2019,°C,1.056,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7001,January,2020,2020,°C,1.056,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7001,January,2021,2021,°C,1.056,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7002,February,1961,1961,°C,1.219,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7002,February,1962,1962,°C,1.428,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7002,February,1963,1963,°C,0.581,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7002,February,1964,1964,°C,-1.029,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7002,February,1965,1965,°C,-1.287,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7002,February,1966,1966,°C,-0.97,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7002,February,1967,1967,°C,-0.366,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7002,February,1968,1968,°C,-0.559,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7002,February,1969,1969,°C,-0.431,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7002,February,1970,1970,°C,1.479,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7002,February,1971,1971,°C,-0.512,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7002,February,1972,1972,°C,-0.623,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7002,February,1973,1973,°C,0.085,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7002,February,1974,1974,°C,-0.648,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7002,February,1975,1975,°C,-0.629,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7002,February,1976,1976,°C,1.734,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7002,February,1977,1977,°C,2.03,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7002,February,1978,1978,°C,-1.943,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7002,February,1979,1979,°C,-3.498,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7002,February,1980,1980,°C,0.439,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7002,February,1981,1981,°C,1.791,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7002,February,1982,1982,°C,-0.274,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7002,February,1983,1983,°C,1.74,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7002,February,1984,1984,°C,0.633,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7002,February,1985,1985,°C,-1.584,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7002,February,1986,1986,°C,1.535,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7002,February,1987,1987,°C,1.958,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7002,February,1988,1988,°C,0.418,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7002,February,1989,1989,°C,-0.813,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7002,February,1990,1990,°C,-0.097,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7002,February,1991,1991,°C,2.691,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7002,February,1992,1992,°C,2.222,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7002,February,1993,1993,°C,-0.449,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7002,February,1994,1994,°C,-0.781,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7002,February,1995,1995,°C,1.931,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7002,February,1996,1996,°C,0.857,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7002,February,1997,1997,°C,2.065,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7002,February,1998,1998,°C,2.777,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7002,February,1999,1999,°C,1.789,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7002,February,2000,2000,°C,3.744,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7002,February,2001,2001,°C,1.184,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7002,February,2002,2002,°C,1.598,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7002,February,2003,2003,°C,0.654,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7002,February,2004,2004,°C,0.506,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7002,February,2005,2005,°C,2.181,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7002,February,2006,2006,°C,1.264,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7002,February,2007,2007,°C,-0.402,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7002,February,2008,2008,°C,0.185,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7002,February,2009,2009,°C,1.36,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7002,February,2010,2010,°C,-0.194,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7002,February,2011,2011,°C,-0.059,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7002,February,2012,2012,°C,2.44,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7002,February,2013,2013,°C,0.676,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7002,February,2014,2014,°C,-0.306,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7002,February,2015,2015,°C,0.403,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7002,February,2016,2016,°C,3.816,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7002,February,2017,2017,°C,3.546,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7002,February,2018,2018,°C,1.793,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7002,February,2019,2019,°C,0.389,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7002,February,2020,2020,°C,0.869,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7002,February,2021,2021,°C,-1.574,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7002,February,1961,1961,°C,1.336,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7002,February,1962,1962,°C,1.336,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7002,February,1963,1963,°C,1.336,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7002,February,1964,1964,°C,1.336,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7002,February,1965,1965,°C,1.336,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7002,February,1966,1966,°C,1.336,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7002,February,1967,1967,°C,1.336,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7002,February,1968,1968,°C,1.336,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7002,February,1969,1969,°C,1.336,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7002,February,1970,1970,°C,1.336,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7002,February,1971,1971,°C,1.336,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7002,February,1972,1972,°C,1.336,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7002,February,1973,1973,°C,1.336,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7002,February,1974,1974,°C,1.336,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7002,February,1975,1975,°C,1.336,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7002,February,1976,1976,°C,1.336,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7002,February,1977,1977,°C,1.336,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7002,February,1978,1978,°C,1.336,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7002,February,1979,1979,°C,1.336,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7002,February,1980,1980,°C,1.336,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7002,February,1981,1981,°C,1.336,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7002,February,1982,1982,°C,1.336,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7002,February,1983,1983,°C,1.336,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7002,February,1984,1984,°C,1.336,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7002,February,1985,1985,°C,1.336,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7002,February,1986,1986,°C,1.336,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7002,February,1987,1987,°C,1.336,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7002,February,1988,1988,°C,1.336,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7002,February,1989,1989,°C,1.336,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7002,February,1990,1990,°C,1.336,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7002,February,1991,1991,°C,1.336,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7002,February,1992,1992,°C,1.336,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7002,February,1993,1993,°C,1.336,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7002,February,1994,1994,°C,1.336,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7002,February,1995,1995,°C,1.336,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7002,February,1996,1996,°C,1.336,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7002,February,1997,1997,°C,1.336,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7002,February,1998,1998,°C,1.336,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7002,February,1999,1999,°C,1.336,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7002,February,2000,2000,°C,1.336,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7002,February,2001,2001,°C,1.336,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7002,February,2002,2002,°C,1.336,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7002,February,2003,2003,°C,1.336,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7002,February,2004,2004,°C,1.336,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7002,February,2005,2005,°C,1.336,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7002,February,2006,2006,°C,1.336,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7002,February,2007,2007,°C,1.336,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7002,February,2008,2008,°C,1.336,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7002,February,2009,2009,°C,1.336,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7002,February,2010,2010,°C,1.336,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7002,February,2011,2011,°C,1.336,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7002,February,2012,2012,°C,1.336,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7002,February,2013,2013,°C,1.336,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7002,February,2014,2014,°C,1.336,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7002,February,2015,2015,°C,1.336,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7002,February,2016,2016,°C,1.336,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7002,February,2017,2017,°C,1.336,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7002,February,2018,2018,°C,1.336,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7002,February,2019,2019,°C,1.336,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7002,February,2020,2020,°C,1.336,Fc,Calculated data
ET,Temperature change,231,United States of America,6078,Standard Deviation,7002,February,2021,2021,°C,1.336,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7003,March,1961,1961,°C,0.659,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7003,March,1962,1962,°C,-1.081,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7003,March,1963,1963,°C,1.401,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7003,March,1964,1964,°C,-1.379,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7003,March,1965,1965,°C,-1.029,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7003,March,1966,1966,°C,0.214,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7003,March,1967,1967,°C,1.743,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7003,March,1968,1968,°C,1.69,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7003,March,1969,1969,°C,-1.671,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7003,March,1970,1970,°C,-0.274,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7003,March,1971,1971,°C,-1.248,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7003,March,1972,1972,°C,0.395,Fc,Calculated data
