Time,Time Code,Country Name,Country Code,"Population, total [SP.POP.TOTL]",Population growth (annual %) [SP.POP.GROW],GDP (constant 2010 US$) [NY.GDP.MKTP.KD],Imports of goods and services (constant 2010 US$) [NE.IMP.GNFS.KD],Exports of goods and services (current US$) [NE.EXP.GNFS.CD],Average precipitation in depth (mm per year) [AG.LND.PRCP.MM]
2000,YR2000,Colombia,COL,39629965,1.603751902,1.92716E+11,22952927667,15897088339,..
2000,YR2000,Comoros,COM,542357,2.522340022,702926141.3,205539166.9,30950452.5,..
2000,YR2000,"Congo, Dem. Rep.",COD,47105826,2.550436336,13660045127,2432037317,2185507246,..
2000,YR2000,"Congo, Rep.",COG,3127411,2.886358372,8189693047,3561734843,2585496315,..
2000,YR2000,Costa Rica,CRI,3962372,1.960917604,24457378062,8597274373,6445399583,..
2000,YR2000,Cote d'Ivoire,CIV,16454668,2.598674067,22322169525,..,4370512052,..
2000,YR2000,Croatia,HRV,4468302,-0.986434859,46678391315,15038525898,7638063885,..
2000,YR2000,Cuba,CUB,11126430,0.376028645,38729221264,5433551668,4318900000,..
2000,YR2000,Curacao,CUW,133860,-4.075386132,..,..,..,..
2000,YR2000,Cyprus,CYP,943290,1.844985508,18521230280,11479689779,6986380773,..
2000,YR2000,Czech Republic,CZE,10255063,-0.280414108,1.52688E+11,54521528976,29733777254,..
2000,YR2000,Denmark,DNK,5339616,0.334233619,2.98221E+11,97462129598,73620705670,..
2000,YR2000,Djibouti,DJI,717584,2.484539383,..,..,..,..
2000,YR2000,Dominica,DMA,69650,-0.265261653,388564008.3,..,144511111.1,..
2000,YR2000,Dominican Republic,DOM,8471321,1.522967473,34321549050,14798839379,8627787837,..
2000,YR2000,Ecuador,ECU,12681123,1.902742082,46459371078,8899748798,5888259130,..
2000,YR2000,"Egypt, Arab Rep.",EGY,68831561,1.930382623,1.36413E+11,24762626330,16174959636,..
2000,YR2000,El Salvador,SLV,5887936,0.734526453,15695372316,7606671780,3161574400,..
2000,YR2000,Equatorial Guinea,GNQ,606181,4.110344072,3372418920,..,..,..
2000,YR2000,Eritrea,ERI,2292416,2.428957109,1456092119,903246832.2,68310441.56,..
2000,YR2000,Estonia,EST,1396985,0.483707162,14057073775,6330064320,3504490924,..
2000,YR2000,Eswatini,SWZ,1005435,1.132971,3134761673,2019590029,1238728119,..
2000,YR2000,Ethiopia,ETH,66224804,2.882672549,13074915712,..,..,..
2000,YR2000,Faroe Islands,FRO,46735,0.641832816,..,..,527606982.5,..
2000,YR2000,Fiji,FJI,811006,0.581584998,2689258989,..,1097340975,..
2000,YR2000,Finland,FIN,5176209,0.207606515,2.09135E+11,63983385872,52835820896,..
2000,YR2000,France,FRA,60912500,0.684929254,2.33352E+12,5.58868E+11,3.89535E+11,..
2000,YR2000,French Polynesia,PYF,240686,1.872537189,..,..,168811807.9,..
2000,YR2000,Gabon,GAB,1228360,2.414870179,12492736211,2310161286,3498457744,..
2000,YR2000,"Gambia, The",GMB,1317703,3.127234728,1097226959,..,201981794.9,..
2000,YR2000,Georgia,GEO,4077131,-1.944629157,6660152863,..,703050128.5,..
2000,YR2000,Germany,DEU,82211508,0.1354316,3.11865E+12,8.68193E+11,5.99416E+11,..
2000,YR2000,Ghana,GHA,19278856,2.449490386,18368957715,..,2431828409,..
2000,YR2000,Gibraltar,GIB,31077,1.77909442,..,..,..,..
2000,YR2000,Greece,GRC,10805808,0.409041838,2.5151E+11,81771760719,30865641238,..
2000,YR2000,Greenland,GRL,56200,0.178094437,1809246742,..,..,..
2000,YR2000,Grenada,GRD,102833,0.390714939,646274551.8,..,235727407.4,..
2000,YR2000,Guam,GUM,155329,0.889808705,..,..,..,..
2000,YR2000,Guatemala,GTM,11589761,2.433943645,29764712427,11941271865,3895385279,..
2000,YR2000,Guinea,GIN,8240730,2.282782176,5050049665,..,734578521.3,..
2000,YR2000,Guinea-Bissau,GNB,1201301,2.032501418,661143318.8,..,80534492.51,..
2000,YR2000,Guyana,GUY,746715,-0.395485914,2710796187,..,684731124.3,..
2000,YR2000,Haiti,HTI,8463806,1.725004718,9736418665,2601362205,461401566.7,..
2000,YR2000,Honduras,HND,6574509,2.734716347,10569704557,7051024347,3833918331,..
2000,YR2000,"Hong Kong SAR, China",HKG,6665000,0.881594076,1.53401E+11,2.28189E+11,2.16356E+11,..
2000,YR2000,Hungary,HUN,10210971,-0.259764908,1.07012E+11,47993338971,31569229766,..
2000,YR2000,Iceland,ISL,281205,1.369192833,10535472402,5876151198,2899576893,..
2000,YR2000,India,IND,1056575549,1.768125412,8.73357E+11,1.14116E+11,60878396866,..
2000,YR2000,Indonesia,IDN,211513823,1.379909528,4.53414E+11,86127068981,67621169166,..
2000,YR2000,"Iran, Islamic Rep.",IRN,65623405,1.261323234,3.16063E+11,44845022398,23526115003,..
2000,YR2000,Iraq,IRQ,23497585,3.004659173,1.01557E+11,..,..,..
2000,YR2000,Ireland,IRL,3805174,1.333042666,1.67812E+11,1.25277E+11,94350575825,..
2000,YR2000,Isle of Man,IMN,76941,1.229239629,3493060538,..,..,..
2000,YR2000,Israel,ISR,6289000,2.642331913,1.74465E+11,61311710895,47072572536,..
2000,YR2000,Italy,ITA,56942108,0.045303631,2.06866E+12,4.80855E+11,2.93138E+11,..
2000,YR2000,Jamaica,JAM,2654701,0.83315911,12367092204,..,3485422470,..
2000,YR2000,Japan,JPN,126843000,0.167275578,5.34894E+12,6.34824E+11,5.19274E+11,..
2000,YR2000,Jordan,JOR,5122493,1.787101363,14787230566,12313652601,3538928068,..
2000,YR2000,Kazakhstan,KAZ,14883626,-0.300549816,66851172843,33593380787,10353710600,..
2000,YR2000,Kenya,KEN,31964557,2.745984467,26198643973,5684009635,2742778003,..
2000,YR2000,Kiribati,KIR,84396,1.701680563,145368938.3,..,7960111.317,..
2000,YR2000,"Korea, Dem. People’s Rep.",PRK,22929075,0.865491998,..,..,..,..
2000,YR2000,"Korea, Rep.",KOR,47008111,0.836180864,7.24597E+11,2.41981E+11,1.9555E+11,..
2000,YR2000,Kosovo,XKX,1700000,-3.582127645,3146802262,..,..,..
2000,YR2000,Kuwait,KWT,2045123,4.678993919,73763782275,..,21297262060,..
2000,YR2000,Kyrgyz Republic,KGZ,4898400,1.191125924,3205081829,2039064706,573185350.4,..
2000,YR2000,Lao PDR,LAO,5323700,1.67356146,3582186705,1069318660,530820000,..
2000,YR2000,Latvia,LVA,2367550,-0.963935407,16489794024,7128101955,2927653534,..
2000,YR2000,Lebanon,LBN,3842778,2.503561342,21967850867,10905204722,2447097844,..
2000,YR2000,Lesotho,LSO,2032804,0.645178652,1646313414,1138748321,..,..
2000,YR2000,Liberia,LBR,2848456,5.363199244,1749841726,1080095348,274229800,..
2000,YR2000,Libya,LBY,5357891,1.541621852,48026344513,..,12077313549,..
2000,YR2000,Liechtenstein,LIE,33184,1.258488552,..,..,..,..
2000,YR2000,Lithuania,LTU,3499536,-0.70338544,24267509230,9385390184,4447864480,..
2000,YR2000,Luxembourg,LUX,436300,1.344082996,40777874685,44605561102,31573110374,..
2000,YR2000,"Macao SAR, China",MAC,427782,2.221643908,9639996169,4529302132,6046798490,..
2000,YR2000,Madagascar,MDG,15766806,3.119708696,7733390473,1891387492,885096695.5,..
2000,YR2000,Malawi,MWI,11148758,2.676475988,4376161604,..,446401353.3,..
2000,YR2000,Malaysia,MYS,23194257,2.324616941,1.62523E+11,1.15317E+11,1.12369E+11,..
2000,YR2000,Maldives,MDV,279398,2.123695132,1619839034,..,..,..
2000,YR2000,Mali,MLI,10946445,2.811836032,6075764625,1715433330,664046686.7,..
2000,YR2000,Malta,MLT,390087,0.645267231,7110351989,8504764517,4893557072,..
2000,YR2000,Marshall Islands,MHL,50753,0.652330929,136848628.9,..,33100500,..
2000,YR2000,Mauritania,MRT,2630219,2.644090516,3876089575,953198619.7,454082460.8,..
2000,YR2000,Mauritius,MUS,1186873,0.982676166,6721484096,4967983218,2849014842,..
2000,YR2000,Mexico,MEX,98899845,1.441087472,9.15216E+11,2.45863E+11,1.79856E+11,..
2000,YR2000,"Micronesia, Fed. Sts.",FSM,107402,-0.352258675,290797573.8,..,41921500,..
2000,YR2000,Moldova,MDA,2923783,-0.203364953,4229636600,1771734706,639062444.7,..
2000,YR2000,Monaco,MCO,32147,0.947015251,4462968315,..,..,..
2000,YR2000,Mongolia,MNG,2397418,0.887923091,3837047132,..,613886974.3,..
2000,YR2000,Montenegro,MNE,604950,-0.027974019,2997339531,..,362369077.3,..
2000,YR2000,Morocco,MAR,28793679,1.18141041,57519650790,20566653244,10408859646,..
2000,YR2000,Mozambique,MOZ,17711927,2.676309529,5131979555,1701005801,633309991.3,..
2000,YR2000,Myanmar,MMR,46719701,1.159581323,15984737490,..,47983870.83,..
2000,YR2000,Namibia,NAM,1794571,1.726197374,7190976909,2975270197,1597772846,..
2000,YR2000,Nauru,NRU,10337,-1.077658847,..,..,..,..
2000,YR2000,Nepal,NPL,23941110,1.817273368,10899840167,..,1279281888,..
2000,YR2000,Netherlands,NLD,15925513,0.714770363,7.39505E+11,3.85361E+11,2.74991E+11,..
2000,YR2000,New Caledonia,NCL,213230,1.901374378,..,..,..,..
2000,YR2000,New Zealand,NZL,3857700,0.587564086,1.13241E+11,25587546960,18810433408,..
2000,YR2000,Nicaragua,NIC,5069302,1.555883066,6560798897,3265411370,1026990189,..
2000,YR2000,Niger,NER,11331557,3.60876885,4863999084,1092588907,320662359.1,..
2000,YR2000,Nigeria,NGA,122283850,2.503846969,1.68314E+11,27489086206,25017710170,..
2000,YR2000,North Macedonia,MKD,2034819,0.513647494,7017710079,3477000112,1243035324,..
2000,YR2000,Northern Mariana Islands,MNP,57453,3.213674851,..,..,..,..
2000,YR2000,Norway,NOR,4490967,0.649044821,3.66702E+11,82900954311,78315344589,..
2000,YR2000,Oman,OMN,2267973,0.577908105,42407693363,8214409853,11770788616,..
2000,YR2000,Pakistan,PAK,142343578,2.647398688,1.16754E+11,21707249278,9940178787,..
2000,YR2000,Palau,PLW,19105,1.737062235,178469220.7,..,63462200,..
2000,YR2000,Panama,PAN,3030328,1.970629913,16647538296,11760632156,7629852800,..
2000,YR2000,Papua New Guinea,PNG,5847586,2.273150029,9608075731,..,2330364837,..
2000,YR2000,Paraguay,PRY,5323201,2.027708224,19005701526,4823521012,3837259043,..
2000,YR2000,Peru,PER,26459944,1.452875982,85798462918,14463812705,8676752916,..
2000,YR2000,Philippines,PHL,77991755,2.1590432,1.30146E+11,42638458537,36266221660,..
2000,YR2000,Poland,POL,38258629,-1.044335398,3.26937E+11,1.10132E+11,46823588965,..
2000,YR2000,Portugal,PRT,10289898,0.702859953,2.21207E+11,71783036700,33369086973,..
2000,YR2000,Puerto Rico,PRI,3810605,0.276558689,92068670407,..,38465700000,..
2000,YR2000,Qatar,QAT,592468,3.780297533,36044298341,..,11949450549,..
2000,YR2000,Romania,ROU,22442971,-0.12944004,1.09952E+11,15094894095,8042562992,..
2000,YR2000,Russian Federation,RUS,146596869,-0.42061499,9.51571E+11,91329320374,1.14429E+11,..
2000,YR2000,Rwanda,RWA,7933681,5.604957424,2785993669,819131420.7,112685214.8,..
2000,YR2000,Samoa,WSM,174454,0.485545238,498174444.5,..,..,..
2000,YR2000,San Marino,SMR,27462,1.161036354,1702450125,..,..,..
2000,YR2000,Sao Tome and Principe,STP,142262,1.63209054,..,..,..,..
2000,YR2000,Saudi Arabia,SAU,20663843,2.297383091,3.79223E+11,59762902936,82259466667,..
2000,YR2000,Senegal,SEN,9797734,2.365148022,10926076018,3704056625,1654350828,..
2000,YR2000,Serbia,SRB,7516346,-0.319524801,26442039541,4614476877,603908121.3,..
2000,YR2000,Seychelles,SYC,81131,0.892658567,794294458,..,464069445.9,..
2000,YR2000,Sierra Leone,SLE,4584571,2.701472756,1385751986,253780628,115314755.5,..
2000,YR2000,Singapore,SGP,4027887,1.732042233,1.36347E+11,2.02304E+11,1.80957E+11,..
2000,YR2000,Sint Maarten (Dutch part),SXM,30519,-1.834377687,..,..,..,..
2000,YR2000,Slovak Republic,SVK,5388720,-0.135376488,55615077762,28496107318,15520010135,..
2000,YR2000,Slovenia,SVN,1988925,0.29607496,36841188520,17921657066,10172240637,..
2000,YR2000,Solomon Islands,SLB,412660,2.720230214,611464618.7,..,104816365,..
2000,YR2000,Somalia,SOM,8872254,3.657651516,..,..,..,..
2000,YR2000,South Africa,ZAF,44967708,1.409028824,2.67001E+11,57939818609,37034201374,..
2000,YR2000,South Sudan,SSD,6199394,4.377290907,..,..,..,..
2000,YR2000,Spain,ESP,40567864,0.447137015,1.15248E+12,2.986E+11,1.70488E+11,..
2000,YR2000,Sri Lanka,LKA,18777601,0.610655198,34271798041,10328822538,6371581613,..
2000,YR2000,St. Kitts and Nevis,KNA,44083,1.051261036,618504713.6,..,..,..
2000,YR2000,St. Lucia,LCA,156729,1.112534091,1229867084,..,..,..
2000,YR2000,St. Martin (French part),MAF,28935,2.871312571,..,..,..,..
2000,YR2000,St. Vincent and the Grenadines,VCT,107784,0.024125229,512303508.1,..,179414814.8,..
2000,YR2000,Sudan,SDN,27275015,2.406337007,30179232202,5574946155,1959294026,..
2000,YR2000,Suriname,SUR,470944,1.188491482,2696863364,..,..,..
2000,YR2000,Sweden,SWE,8872109,0.160575485,3.98727E+11,1.4867E+11,1.13699E+11,..
2000,YR2000,Switzerland,CHE,7184250,0.561954617,4.87149E+11,2.31489E+11,1.4179E+11,..
2000,YR2000,Syrian Arab Republic,SYR,16410848,2.44801766,..,..,6839334310,..
2000,YR2000,Tajikistan,TJK,6216341,1.567476716,2582669253,1614808742,746520252.4,..
2000,YR2000,Tanzania,TZA,33499180,2.468918042,16992936425,2791126552,1445821022,..
2000,YR2000,Thailand,THA,62952642,1.04442413,2.17712E+11,1.06383E+11,81953041250,..
2000,YR2000,Timor-Leste,TLS,884366,1.277967574,566700966,884883229.5,38963800,..
2000,YR2000,Togo,TGO,4924402,2.966857997,2751022118,1381442854,419928303.8,..
2000,YR2000,Tonga,TON,97973,0.502418493,336741490.1,..,29229150.14,..
2000,YR2000,Trinidad and Tobago,TTO,1267153,0.254436375,12400244898,..,..,..
2000,YR2000,Tunisia,TUN,9708350,0.980882557,29142311723,11342689674,8491938426,..
2000,YR2000,Turkey,TUR,63240194,1.518097003,5.23519E+11,1.1033E+11,54534716876,..
2000,YR2000,Turkmenistan,TKM,4516133,1.113271534,10753701529,..,1604432628,..
2000,YR2000,Turks and Caicos Islands,TCA,20164,5.604464291,..,..,..,..
2000,YR2000,Tuvalu,TUV,9394,0.512274333,29009173.71,..,..,..
2000,YR2000,Uganda,UGA,23650172,2.994744575,13036912542,2600133272,659668069.2,..
2000,YR2000,Ukraine,UKR,49176500,-1.006579027,89401541681,42968353598,19521221885,..
2000,YR2000,United Arab Emirates,ARE,3134062,5.510421986,1.98234E+11,..,..,..
2000,YR2000,United Kingdom,GBR,58892514,0.357300887,2.10087E+12,5.5529E+11,4.17752E+11,..
2000,YR2000,United States,USA,282162411,1.112768997,1.26203E+13,1.791E+12,1.09626E+12,..
2000,YR2000,Uruguay,URY,3319736,0.353785697,29883433692,6218986133,3811049833,..
2000,YR2000,Uzbekistan,UZB,24650400,1.383746821,24133037752,2433977464,3393714865,..
2000,YR2000,Vanuatu,VUT,184972,2.024441334,525554159.3,..,106572568.4,..
2000,YR2000,"Venezuela, RB",VEN,24192446,1.888574407,2.8896E+11,33906004341,34842594118,..
2000,YR2000,Vietnam,VNM,79910412,1.100434447,61146300623,24486229170,16808688578,..
2000,YR2000,Virgin Islands (U.S.),VIR,108642,0.039587371,..,..,..,..
2000,YR2000,West Bank and Gaza,PSE,2922153,2.555235698,6218556740,4483338454,885000000,..
2000,YR2000,"Yemen, Rep.",YEM,17409072,2.842718999,20345854642,..,..,..
2000,YR2000,Zambia,ZMB,10415944,2.679438703,9881983407,937879406.3,861422399.4,..
2000,YR2000,Zimbabwe,ZWE,11881477,0.495761344,17216768309,5744794123,2552871400,..
2000,YR2000,Arab World,ARB,282344154,2.152839971,1.36544E+12,..,2.90224E+11,..
2000,YR2000,Caribbean small states,CSS,6513489,0.695835914,49160891098,..,..,..
2000,YR2000,Central Europe and the Baltics,CEB,108447824,-0.562187469,9.23094E+11,3.23685E+11,1.65177E+11,..
2000,YR2000,Early-demographic dividend,EAR,2472852818,1.82189566,5.66609E+12,1.1761E+12,8.22675E+11,..
2000,YR2000,East Asia & Pacific,EAS,2047640119,0.936082737,1.09694E+13,2.90669E+12,1.97568E+12,..
2000,YR2000,East Asia & Pacific (excluding high income),EAP,1816455805,0.990541106,3.30801E+12,..,5.75966E+11,..
2000,YR2000,East Asia & Pacific (IDA & IBRD countries),TEA,1793498351,0.992078165,3.30141E+12,..,5.7493E+11,..
2000,YR2000,Euro area,EMU,321310791,0.328450827,1.12185E+13,3.47864E+12,2.27568E+12,..
2000,YR2000,Europe & Central Asia,ECS,861278548,0.111507795,1.74646E+13,5.19111E+12,3.456E+12,..
2000,YR2000,Europe & Central Asia (excluding high income),ECA,369143668,0.032581671,1.819E+12,3.41051E+11,2.27268E+11,..
2000,YR2000,Europe & Central Asia (IDA & IBRD countries),TEC,434313570,-0.081619011,2.30256E+12,4.81955E+11,2.89769E+11,..
2000,YR2000,European Union,EUU,429328624,0.119662421,1.26913E+13,3.9792E+12,2.5916E+12,..
2000,YR2000,Fragile and conflict affected situations,FCS,504450718,2.442150374,8.79157E+11,1.78079E+11,1.1982E+11,..
2000,YR2000,Heavily indebted poor countries (HIPC),HPC,471680794,2.792395351,2.9396E+11,83433817460,36086257128,..
2000,YR2000,High income,HIC,1101479766,0.608660329,3.84001E+13,9.06259E+12,6.39302E+12,..
2000,YR2000,IBRD only,IBD,3987195305,1.186042817,1.13485E+13,2.52572E+12,1.50911E+12,..
2000,YR2000,IDA & IBRD total,IBT,5065364309,1.455245791,1.21804E+13,2.70879E+12,1.61526E+12,..
2000,YR2000,IDA blend,IDB,360173360,2.461724878,3.95183E+11,77416241171,52943412701,..
2000,YR2000,IDA only,IDX,717995644,2.464175916,4.36766E+11,1.05654E+11,52902763201,..
2000,YR2000,IDA total,IDA,1078169004,2.463357109,8.34519E+11,1.83504E+11,1.05879E+11,..
2000,YR2000,Late-demographic dividend,LTE,2045125923,0.764301954,7.09424E+12,..,1.08167E+12,..
2000,YR2000,Latin America & Caribbean,LCN,520903450,1.468098079,3.92097E+12,6.71722E+11,4.79908E+11,..
2000,YR2000,Latin America & Caribbean (excluding high income),LAC,492968023,1.495952615,3.59491E+12,5.71375E+11,3.8633E+11,..
2000,YR2000,Latin America & the Caribbean (IDA & IBRD countries),TLA,504921262,1.503602484,3.76126E+12,6.17767E+11,4.23285E+11,..
2000,YR2000,Least developed countries: UN classification,LDC,657215864,2.522290408,3.65555E+11,72485985582,40091046292,..
2000,YR2000,Low & middle income,LMY,5012852771,1.481414006,1.15378E+13,2.52455E+12,1.51642E+12,..
2000,YR2000,Low income,LIC,401768207,2.777500612,2.20854E+11,..,..,..
2000,YR2000,Lower middle income,LMC,2155781287,1.841788162,2.21155E+12,4.59516E+11,2.94236E+11,..
2000,YR2000,Middle East & North Africa,MEA,315326801,1.903477907,1.82875E+12,..,3.63765E+11,..
2000,YR2000,Middle East & North Africa (excluding high income),MNA,279279634,1.796829388,9.02308E+11,1.98436E+11,1.2204E+11,..
2000,YR2000,Middle East & North Africa (IDA & IBRD countries),TMN,276357481,1.788527207,8.96081E+11,1.93273E+11,1.21074E+11,..
2000,YR2000,Middle income,MIC,4611084564,1.370031232,1.13186E+13,2.4677E+12,1.49222E+12,..
2000,YR2000,North America,NAC,312909974,1.100928819,1.38333E+13,2.17317E+12,1.42759E+12,..
2000,YR2000,Not classified,INX,..,..,..,..,..,..
2000,YR2000,OECD members,OED,1196874047,0.71459586,3.82555E+13,8.45285E+12,5.76098E+12,..
2000,YR2000,Other small states,OSS,20917092,1.835206755,1.69079E+11,91869065392,61016432126,..
2000,YR2000,Pacific island small states,PSS,1962452,1.157736733,5477566595,..,1592404424,..
2000,YR2000,Post-demographic dividend,PST,1020504904,0.500617118,3.6272E+13,8.24153E+12,5.73088E+12,..
2000,YR2000,Pre-demographic dividend,PRE,550660001,2.778527504,5.60637E+11,1.08623E+11,81395262453,..
2000,YR2000,Small states,SST,29393033,1.535217115,2.23764E+11,..,79247079032,..
2000,YR2000,South Asia,SAS,1390946064,1.895739799,1.11147E+12,1.58495E+11,85366699348,..
2000,YR2000,South Asia (IDA & IBRD),TSA,1390946064,1.895739799,1.11147E+12,1.58495E+11,85366699348,..
2000,YR2000,Sub-Saharan Africa,SSF,665327581,2.650514485,8.12256E+11,1.82818E+11,1.23877E+11,..
2000,YR2000,Sub-Saharan Africa (excluding high income),SSA,664059577,2.653753802,8.0473E+11,1.77099E+11,1.20478E+11,..
2000,YR2000,Sub-Saharan Africa (IDA & IBRD countries),TSS,665327581,2.650514485,8.12256E+11,1.82818E+11,1.23877E+11,..
2000,YR2000,Upper middle income,UMC,2455303277,0.959412609,9.10705E+12,..,1.19796E+12,..
2000,YR2000,World,WLD,6114332537,1.323073457,4.9949E+13,1.18494E+13,7.91498E+12,..
2001,YR2001,Afghanistan,AFG,21606988,3.902805701,..,..,..,..
2001,YR2001,Albania,ALB,3060173,-0.938470428,7508515183,3018519926,836718641.2,..
2001,YR2001,Algeria,DZA,31451514,1.30984253,1.13713E+11,21953998882,20085454899,..
2001,YR2001,American Samoa,ASM,58494,1.157215338,..,..,..,..
2001,YR2001,Andorra,AND,67341,2.939992206,2854792523,..,..,..
2001,YR2001,Angola,AGO,16945753,3.301198182,37676079529,10941978661,6736804052,..
2001,YR2001,Antigua and Barbuda,ATG,77212,1.561104092,952300505.1,..,777222222.2,..
2001,YR2001,Argentina,ARG,37275652,1.092079483,2.89861E+11,36623502524,31112418400,..
2001,YR2001,Armenia,ARM,3050687,-0.617751681,4720178403,2178617717,511522177.8,..
2001,YR2001,Aruba,ABW,92898,2.22593013,2505092565,..,1353631285,..
2001,YR2001,Australia,AUS,19413000,1.348358342,8.65533E+11,1.15172E+11,84096812279,..
2001,YR2001,Austria,AUT,8042293,0.382799394,3.40759E+11,1.42189E+11,88047337808,..
2001,YR2001,Azerbaijan,AZE,8111200,0.774765939,14672815269,2732293622,2368624503,..
2001,YR2001,"Bahamas, The",BHS,302618,1.520667125,9656711992,4299631647,2834100000,..
2001,YR2001,Bahrain,BHR,697545,4.836512065,15636329787,7763377660,6607446809,..
2001,YR2001,Bangladesh,BGD,130088702,1.886287145,70415938963,7225891129,7227575982,..
2001,YR2001,Barbados,BRB,272500,0.362122764,4127500000,..,1251500000,..
2001,YR2001,Belarus,BLR,9928549,-0.512966688,29352914216,16148202778,8246546763,..
2001,YR2001,Belgium,BEL,10286570,0.343951158,4.10295E+11,2.7285E+11,1.69392E+11,..
2001,YR2001,Belize,BLZ,255063,3.084774571,1000300238,784827870,443480250,..
2001,YR2001,Benin,BEN,7076733,3.023780214,6868608004,1766334828,727789558.5,..
2001,YR2001,Bermuda,BMU,62504,1.085181052,6355501908,..,..,..
2001,YR2001,Bhutan,BTN,603640,2.112644398,717057834.2,358420931.5,125216999.4,..
2001,YR2001,Bolivia,BOL,8580235,1.905767118,13708143466,4076103424,1626040049,..
2001,YR2001,Bosnia and Herzegovina,BIH,3755512,0.115523663,11807660380,..,1632283629,..
2001,YR2001,Botswana,BWA,1674678,1.889380292,8584992741,4446571540,2671112100,..
2001,YR2001,Brazil,BRA,177196054,1.366957076,1.56009E+12,1.26339E+11,69203919565,..
2001,YR2001,British Virgin Islands,VGB,20675,1.77626297,..,..,..,..
2001,YR2001,Brunei Darussalam,BRN,340034,2.040774985,12299643564,2664352255,3894175364,..
